Object,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
ActiveReeferSettings,temperatureUnit,string,yes,,,CEL,"The unit for temperature in Celsius or Fahrenheit
- `CEL` (Celsius)
- `FAH` (Fahrenheit)

**Condition:** Mandatory if `temperatureSetpoint` is provided. If `temperatureSetpoint` is not provided, this field must be empty.",
Address,city,string,yes,maxLength=35,"^\S(?:.*\S)?$",Amsterdam,"The name of the city.",
Address,countryCode,string,yes,"minLength=2
maxLength=2","^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
Address,floor,string,,maxLength=50,"^\S(?:.*\S)?$",N/A,"The floor of the street number.",
Address,POBox,string,,maxLength=20,,123,"A numbered box at a post office where a person or business can have mail or parcels delivered.",
Address,postCode,string,,maxLength=10,,"1047 HM","The post code.",
Address,stateRegion,string,,maxLength=65,,"North Holland","The name of the state/region.",
Address,street,string,yes,maxLength=70,,Ruijggoordweg,"The name of the street.",
Address,streetNumber,string,,maxLength=50,,100,"The number of the street.",
AdvanceManifestFiling,countryCode,string,,"minLength=2
maxLength=2","^[A-Z]{2}$",US,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
AdvanceManifestFiling,manifestTypeCode,string,yes,maxLength=50,"^\S(?:.*\S)?$",ACE,"The Manifest type code as defined by the provider.",
Booking,advanceManifestFilings,"AdvanceManifestFiling list",,,,,"A list of `Advance Manifest Filings` provided by the carrier",
Booking,amendedBookingStatus,string,,maxLength=50,,AMENDMENT_RECEIVED,"The status of latest amendment added to the `Booking`. If no amendment has been requested - then this field is empty. Possible values are:
- `AMENDMENT_RECEIVED` (An amendment has been received and is awaiting to be processed)
- `AMENDMENT_CONFIRMED` (Amendment is confirmed)
- `AMENDMENT_DECLINED` (Amendment discontinued by provider)
- `AMENDMENT_CANCELLED` (Amendment discontinued by consumer)",
Booking,"bookingCancellationStatus",string,,maxLength=50,,CANCELLATION_RECEIVED,"The status of the latest booking cancellation. If no cancellation has been requested - then this property is empty. Possible values are:
- `CANCELLATION_RECEIVED` (A request to cancel a Confirmed Booking has been received and is awaiting to be processed)
- `CANCELLATION_DECLINED` (Cancellation of the Confirmed Booking has been declined by provider)
- `CANCELLATION_CONFIRMED` (Cancellation of the Confirmed Booking has been confirmed by provider)",
Booking,bookingChannelReference,string,,maxLength=20,"^\S(?:.*\S)?$","Inttra reference","Identification number provided by the platform/channel used for booking request/confirmation, ex: Inttra booking reference, or GTNexus, other.

**Condition:** a booking channel is being used",
Booking,bookingStatus,string,yes,maxLength=50,,RECEIVED,"The status of the `Booking`. Possible values are:
- `RECEIVED` (Booking request has been received)
- `PENDING_UPDATE` (An update is required to the Booking)
- `UPDATE_RECEIVED` (An update has been received and is awaiting to be processed)
- `CONFIRMED` (Booking has been Confirmed)
- `PENDING_AMENDMENT` (An amendment is required to the Booking)
- `REJECTED` (Booking discontinued by carrier before it has been Confirmed)
- `DECLINED` (Booking discontinued by carrier after it has been Confirmed)
- `CANCELLED` (Booking discontinued by consumer)
- `COMPLETED` (The Transport Document this Booking is connected to has been Surrendered for Delivery)",
Booking,"cargoMovementTypeAtDestination",string,yes,maxLength=3,,FCL,"Refers to the shipment term at the **unloading** of the cargo out of the container. Possible values are:
- `FCL` (Full Container Load)
- `LCL` (Less than Container Load)",
Booking,"cargoMovementTypeAtOrigin",string,yes,maxLength=3,,FCL,"Refers to the shipment term at the **loading** of the cargo into the container. Possible values are:
- `FCL` (Full Container Load)
- `LCL` (Less than Container Load)",
Booking,carrierBookingReference,string,,maxLength=35,"^\S(?:.*\S)?$",ABC709951,"The `carrierBookingReference` if know. Often this will not be known until the booking has been confirmed. Is available during a booking amendment.

**Condition:** `carrierBookingRequestReference` and/or `carrierBookingReference` must be provided",
Booking,"carrierBookingRequestReference",string,,maxLength=100,"^\S(?:.*\S)?$","24595eb0-5cfc-4381-9c3a-cedc1975e9aa","A reference to the booking during the booking request phase.

**Condition:** `carrierBookingRequestReference` and/or `carrierBookingReference` must be provided",
Booking,carrierClauses,"string list",,maxLength=20000,"^\S(?:.*\S)?$",,"Additional clauses for a specific shipment added by the carrier to the Bill of Lading, subject to local rules / guidelines or certain mandatory information required to be shared with the customer.
Item description:
The content of the clause.",
Booking,carrierCode,string,,maxLength=4,"^\S+$",MMCU,"The `SCAC` code (provided by [NMFTA](https://nmfta.org/scac/)) or `SMDG` code (provided by [SMDG](https://smdg.org/documents/smdg-code-lists/smdg-liner-code-list/)) of the carrier the booking request is intended for. `carrierCodeListProvider` defines which list the `carrierCode` is based upon.",
Booking,carrierCodeListProvider,string,,,,NMFTA,"The code list provider for the `carrierCode`. Possible values are:
- `SMDG` (Ship Message Design Group)
- `NMFTA` (National Motor Freight Traffic Association)",
Booking,"carrierExportVoyageNumber",string,,maxLength=50,"^\S(?:.*\S)?$",2103S,"The carrier specific identifier of the export Voyage.

**Condition:** Mandatory if `expectedDepartureDate` or `expectedArrivalAtPlaceOfDeliveryStartDate` and `expectedArrivalAtPlaceOfDeliveryEndDate` is not provided. If `routingReference` is provided - this property MUST not be provided.",
Booking,carrierServiceCode,string,,maxLength=11,"^\S(?:.*\S)?$",FE1,"The carrier specific code of the service for which the schedule details are published.

**Condition:** Mandatory if `carrierExportVoyageNumber` is provided and Vessel details or `carrierServiceName` are blank. If `routingReference` is provided - this property MUST not be provided.",
Booking,carrierServiceName,string,,maxLength=50,"^\S(?:.*\S)?$","Great Lion Service","The name of a service as specified by the carrier.

**Condition:** Mandatory if `carrierExportVoyageNumber` is provided and Vessel details or `carrierServiceCode` are blank. If `routingReference` is provided - this property MUST not be provided.",
Booking,charges,"Charge list",,,,,"A list of `Charges`",
Booking,confirmedEquipments,"ConfirmedEquipment list",,,,,"A list of `Confirmed Equipments`

**Condition:** Mandatory and non-empty for a `CONFIRMED` Booking",
Booking,"contractQuotationReference",string,,maxLength=35,"^\S(?:.*\S)?$",HHL1401,"Information provided by the shipper to identify whether pricing for the shipment has been agreed via a contract or a quotation reference.

**Condition:** One of `contractQuotationReference` or `serviceContractReference` must be provided, but not both.",
Booking,customsReferences,"CustomsReference list",,,,,"A list of `Customs references`",
Booking,declaredValue,number,,minimum=0,,1231.1,"The value of the cargo that the shipper declares in order to avoid the carrier's limitation of liability and ""Ad Valorem"" freight, i.e., freight which is calculated based on the value of the goods declared by the shipper.",
Booking,declaredValueCurrency,string,,"minLength=3
maxLength=3","^[A-Z]{3}$",DKK,"The currency used for the declared value, using the 3-character code defined by [ISO 4217](https://www.iso.org/iso-4217-currency-codes.html).

**Condition:** Mandatory if `declaredValue` is provided. If `declaredValue` is not provided, this field must be empty.",
Booking,"deliveryTypeAtDestination",string,yes,maxLength=3,,CY,"Indicates the type of service offered at `Destination`. The options are:
- `CY` (Container yard (incl. rail ramp))
- `SD` (Store Door)
- `CFS` (Container Freight Station)",
Booking,"destinationChargesPaymentTerm","DestinationChargesPaymentTerm",,,,,"An indicator of whether destination charges are prepaid (`PRE`) or collect (`COL`). When prepaid, the charges are the responsibility of the shipper or the Invoice payer on behalf of the shipper (if provided). When collect, the charges are the responsibility of the consignee or the Invoice payer on behalf of the consignee (if provided).",
Booking,documentParties,DocumentParties,yes,,,,"All `Parties` with associated roles.",
Booking,"expectedArrivalAtPlaceOfDeliveryEndDate","string(date)",,,,2021-05-19,"The end date (provided as a range together with `expectedArrivalAtPlaceOfDeliveryStartDate`) for when the shipment is expected to arrive at `Place Of Delivery`.

**Condition:** Mandatory if vessel/voyage/service details or `expectedDepartureDate` is not provided. If `routingReference` is provided - this property MUST not be provided.",
Booking,"expectedArrivalAtPlaceOfDeliveryStartDate","string(date)",,,,2021-05-17,"The start date (provided as a range together with `expectedArrivalAtPlaceOfDeliveryEndDate`) for when the shipment is expected to arrive at `Place Of Delivery`.

**Condition:** Mandatory if vessel/voyage/service details or `expectedDepartureDate` is not provided. If `routingReference` is provided - this property MUST not be provided.",
Booking,expectedDepartureDate,"string(date)",,,,2021-05-17,"The date when the shipment is expected to be loaded on board a vessel as provided by the shipper or its agent.

**Condition:** Mandatory if vessel/voyage/service details or `expectedArrivalAtPlaceOfDeliveryDate` is not provided. If `routingReference` is provided - this property MUST not be provided.",
Booking,"exportDeclarationReference",string,,maxLength=35,"^\S(?:.*\S)?$",ABC123123,"Reference number assigned to an Export declaration typically submitted by the exporter (or the freight forwarder on behalf of the exporter) that provides detailed information about the goods being exported. It serves as a record for the exporting country's government and is used for statistical, regulatory, and compliance purposes. The export declaration must typically be submitted to the relevant customs authorities before the goods leave the exporting country.",
Booking,feedbacks,"Feedback list",,,,,"Feedback that can be provided includes, but is not limited to:
- unsupported properties
- changed values
- removed properties
- general information",
Booking,freightPaymentTermCode,string,,,,PRE,"An indicator of whether freight and ancillary fees for the main transport are prepaid (`PRE`) or collect (`COL`). When prepaid the charges are the responsibility of the shipper or the Invoice payer on behalf of the shipper (if provided). When collect, the charges are the responsibility of the consignee or the Invoice payer on behalf of the consignee (if provided).
- `PRE` (Prepaid)
- `COL` (Collect)",
Booking,incoTerms,string,,maxLength=3,,FCA,"Transport obligations, costs and risks as agreed between buyer and seller as defined by [Incoterms Rules](https://iccwbo.org/business-solutions/incoterms-rules/).",
Booking,invoicePayableAt,InvoicePayableAt,,,,,"Location where payment of ocean freight and charges for the main transport will take place by the customer.

The location must be provided as a `UN Location Code`",
Booking,"isEquipmentSubstitutionAllowed",boolean,yes,,,true,"Indicates if an alternate equipment type can be provided by the carrier.",
Booking,"isExportDeclarationRequired",boolean,,,,true,"Information provided by the shipper whether an export declaration is required for this particular shipment/commodity/destination.

**Note:** If this property is omitted, it may be interpreted differently by different API providers and by the same API provider in different contexts.",
Booking,isPartialLoadAllowed,boolean,,,,true,"Indicates whether the shipper agrees to load part of the shipment in case not all of the cargo is delivered within cut-off.

**Note:** The carrier is not liable in case unable to follow the customer's instructions due to operational constraints. If this value is omitted, it may be interpreted differently by different API providers and by the same API provider in different contexts.",
Booking,originChargesPaymentTerm,OriginChargesPaymentTerm,,,,,"An indicator of whether origin charges are prepaid (`PRE`) or collect (`COL`). When prepaid, the charges are the responsibility of the shipper or the Invoice payer on behalf of the shipper (if provided). When collect, the charges are the responsibility of the consignee or the Invoice payer on behalf of the consignee (if provided).",
Booking,partyContactDetails,"PartyContactDetail list",,,,,"The contact details of the person(s) to contact in relation to the **Booking** (changes, notifications etc.)",
Booking,placeOfBLIssue,PlaceOfBLIssue,,,,,"An object to capture where the original Transport Document (`Bill of Lading`) will be issued.

**Condition:** The location can be specified as one of `UN Location Code` or `CountryCode`, but not both.",
Booking,receiptTypeAtOrigin,string,yes,maxLength=3,,CY,"Indicates the type of service offered at `Origin`. The options are:
- `CY` (Container yard (incl. rail ramp))
- `SD` (Store Door)
- `CFS` (Container Freight Station)",
Booking,references,"Reference list",,,,,"A list of `References`",
Booking,requestedEquipments,"RequestedEquipment list",yes,minItems=1,,,"List of `Requested Equipments`. Multiple containers can be requested within the same booking. For each Requested Equipment object with 2 or more units, it is a condition that the commodity (or list of commodities) defined within the same Requested Equipment object is the same for each requested unit.

**Example:** 2 x 20' containing 50% shoes and 50% t-shirts can be requested within the same Requested Equipment object only if each 20' will contain 50% shoes and 50% t-shirts. If 1 x 20' will contain 100% shoes and the other 20' will be 100% t-shirts, 2 separate Requested Equipment objects must be defined.",
Booking,routingReference,string,,maxLength=5000,"^\S(?:.*\S)?$",Route123,"A reference to a predefined `route` specified in **Commercial Schedules - Point to Point**. When specifying this property - it is not needed to specify the following properties:
  - `vessel` which includes:
    - `vesselName`
    - `vesselIMONumber`
  - `carrierServiceName`
  - `carrierServiceCode`
  - `universalServiceReference`
  - `carrierExportVoyageNumber`
  - `universalExportVoyageReference`
  - `expectedDepartureDate`
  - `expectedArrivalAtPlaceOfDeliveryStartDate` or `expectedArrivalAtPlaceOfDeliveryEndDate`
  - the following `locationTypeCode` in `shipmentLocations`:
    - `PRE` (Place of Receipt)
    - `POL` (Port of Loading)
    - `POD` (Port of Discharge)
    - `PDE` (Place of Delivery)",
Booking,serviceContractReference,string,,maxLength=30,,HHL51800000,"Reference number for agreement between shipper and carrier, which optionally includes a certain minimum quantity commitment (usually referred as “MQC”) of cargo that the shipper commits to over a fixed period, and the carrier commits to a certain rate or rate schedule.

**Condition:** One of `serviceContractReference` or `contractQuotationReference` must be provided, but not both.",
Booking,shipmentCutOffTimes,"ShipmentCutOffTime list",,,,,"A list of cut-off times provided by the carrier in the booking confirmation. A cut-off time indicates the latest deadline within which a task must be completed. The confirmed schedule cannot be guaranteed if a cut-off time is missed. Customs brokers may set additional cut-off times to receive the export customs documentation, which is not included in the shipment cut-off times of a carrier booking.

**Condition:** Mandatory and non-empty for a `CONFIRMED` Booking",
Booking,shipmentLocations,"ShipmentLocation list",yes,minItems=1,,,"A list of `Shipment Locations`",
Booking,termsAndConditions,string,,maxLength=50000,,"Any reference in...","Carrier terms and conditions of transport.",
Booking,"transportDocumentReference",string,,maxLength=20,"^\S(?:.*\S)?$",reserved-HHL123,"A unique reference allocated by the shipping line to the `Transport Document` that the booking concerns.",
Booking,"transportDocumentTypeCode",string,,,,SWB,"Specifies the type of the `Transport Document`. Possible values are:
- `BOL` (Bill of Lading)
- `SWB` (Sea Waybill)",
Booking,transportPlan,"Transport list",,,,,"A list of `Transport` objects (legs) describing the entire transport plan including transshipments.

**Condition:** Mandatory and non-empty for a `CONFIRMED` Booking",
Booking,"universalExportVoyageReference",string,,"minLength=5
maxLength=5","^\d{2}[0-9A-Z]{2}[NEWSR]$",2103N,"A global unique voyage reference for the export Voyage, as per DCSA standard, agreed by VSA partners for the voyage. The voyage reference must match the regular expression pattern: `\d{2}[0-9A-Z]{2}[NEWSR]`
- `2 digits` for the year
- `2 alphanumeric characters` for the sequence number of the voyage
- `1 character` for the direction/haul (`N`orth, `E`ast, `W`est, `S`outh or `R`oundtrip).

**Condition:** If `routingReference` is provided - this property MUST not be provided.",
Booking,"universalServiceReference",string,,"minLength=8
maxLength=8","^SR\d{5}[A-Z]$",SR12345A,"A global unique service reference, as per DCSA standard, agreed by VSA partners for the service. The service reference must match the regular expression pattern: `SR\d{5}[A-Z]`. The letters `SR` followed by `5 digits`, followed by a checksum-character as a capital letter from `A to Z`.

**Condition:** If `routingReference` is provided - this property MUST not be provided.",
Booking,vessel,Vessel,,,,,"Vessels related to this booking request.

**Condition:** Mandatory if `carrierExportVoyageNumber` is provided and Vessel details or `carrierServiceCode` are blank",
BookingAgent,address,PartyAddress,,,,,"Party address.",
BookingAgent,identifyingCodes,"IdentifyingCode list",,,,,,
BookingAgent,partyContactDetails,"PartyContactDetail list",,minItems=1,,,"A list of contact details",
BookingAgent,partyName,string,yes,maxLength=70,"^\S(?:.*\S)?$","IKEA Denmark","Name of the party.",
BookingAgent,reference,string,,maxLength=35,"^\S(?:.*\S)?$",HHL007,"A reference linked to the `Booking Agent`.",
BookingAgent,taxLegalReferences,"TaxLegalReference list",,,,,"A list of `Tax References` for a `Party`",
CargoGrossVolume,unit,string,yes,,,MTQ,"The unit of measure which can be expressed in imperial or metric terms:
- `FTQ` (Cubic foot)
- `MTQ` (Cubic meter)",
CargoGrossVolume,value,number,yes,minimum=0,,2.4,"The estimated grand total volume of the cargo.",
CargoGrossWeight,unit,string,yes,,,KGM,"The unit of measure which can be expressed in imperial or metric terms:
- `KGM` (Kilograms)
- `LBR` (Pounds)",
CargoGrossWeight,value,number,yes,minimum=0,,36000,"The estimated grand total gross weight of the cargo, including packaging items being carried, which can be expressed in imperial or metric terms, as provided by the shipper.",
CargoGrossWeightReq,unit,string,yes,,,KGM,"The unit of measure which can be expressed in imperial or metric terms:
- `KGM` (Kilograms)
- `LBR` (Pounds)",
CargoGrossWeightReq,value,number,yes,minimum=0,,36000,"The estimated grand total gross weight of the cargo, including packaging items being carried, which can be expressed in imperial or metric terms, as provided by the shipper.",
CargoNetVolume,unit,string,yes,,,MTQ,"The unit of measure which can be expressed in imperial or metric terms:
- `FTQ` (Cubic foot)
- `MTQ` (Cubic meter)",
CargoNetVolume,value,number,yes,minimum=0,,2.4,"The estimated net total volume of the cargo.",
CargoNetWeight,unit,string,yes,,,KGM,"The unit of measure which can be expressed in imperial or metric terms:
- `KGM` (Kilograms)
- `LBR` (Pounds)",
CargoNetWeight,value,number,yes,minimum=0,,2400,"The estimated grand total net weight of the cargo, excluding packaging items being carried, which can be expressed in imperial or metric terms, as provided by the shipper.",
CarrierBookingOffice,address,Address,,,,,"Address of the carrier booking office.",
CarrierBookingOffice,partyContactDetails,"PartyContactDetail list",,minItems=1,,,"A list of contact details",
CarrierBookingOffice,partyName,string,yes,maxLength=70,"^\S(?:.*\S)?$","IKEA Denmark","Name of the party.",
CarrierBookingOffice,UNLocationCode,string,yes,"minLength=5
maxLength=5","^[A-Z]{2}[A-Z2-9]{3}$",NLAMS,"The UN Location code specifying where the carrier booking office is located. The pattern used must be

- 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)
- 3 characters to code a location within that country. Letters A-Z and numbers from 2-9 can be used

More info can be found here: [UN/LOCODE](https://unece.org/trade/cefact/UNLOCODE-Download)",
Charge,calculationBasis,string,yes,maxLength=50,"^\S(?:.*\S)?$","Per day","The code specifying the measure unit used for the corresponding unit price for this cost, such as per day, per ton, per square metre.",
Charge,chargeName,string,yes,maxLength=50,"^\S(?:.*\S)?$","Documentation fee - Destination","Free text field describing the charge to apply",
Charge,currencyAmount,number,yes,minimum=0,,1012.12,"The monetary value of all freight and other service charges for a transport document, with a maximum of 2-digit decimals.",
Charge,currencyCode,string,yes,"minLength=3
maxLength=3","^[A-Z]{3}$",DKK,"The currency for the charge, using a 3-character code according to [ISO 4217](https://www.iso.org/iso-4217-currency-codes.html).",
Charge,paymentTermCode,string,yes,,,PRE,"An indicator of whether a charge is prepaid (PRE) or collect (COL). When prepaid, the charge is the responsibility of the shipper or the Invoice payer on behalf of the shipper (if provided). When collect, the charge is the responsibility of the consignee or the Invoice payer on behalf of the consignee (if provided).
- `PRE` (Prepaid)
- `COL` (Collect)",
Charge,quantity,number,yes,minimum=0,,34.4,"The amount of unit for this charge item.",
Charge,unitPrice,number,yes,minimum=0,,3456.6,"The unit price of this charge item in the currency of the charge.",
Commodity,cargoGrossVolume,CargoGrossVolume,,,,,"The estimated grand total volume of the cargo.",
Commodity,cargoGrossWeight,CargoGrossWeight,,,,,"The estimated grand total gross weight of the cargo, including packaging items being carried, which can be expressed in imperial or metric terms, as provided by the shipper.

**Condition:** Mandatory if not provided on `Requested Equipment` level.",
Commodity,cargoNetVolume,CargoNetVolume,,,,,"The estimated net total volume of the cargo.",
Commodity,cargoNetWeight,CargoNetWeight,,,,,"The estimated grand total net weight of the cargo, excluding packaging items being carried, which can be expressed in imperial or metric terms, as provided by the shipper.",
Commodity,commoditySubReference,string,,maxLength=100,"^\S(?:.*\S)?$",,"A unique reference for this commodity object assigned by the carrier in the booking confirmation. The reference must be provided by the shipper as part of the `Shipping Instructions` for the carrier to link the consignment item to this commodity. A commodity reference is only unique in the context of a booking.

**Condition:** Mandatory to provide for `CONFIRMED` bookings",
Commodity,commodityType,string,yes,maxLength=550,"^\S(?:.*\S)?$","Mobile phones","High-level description of goods to be shipped which allow the carrier to confirm acceptance and commercial terms. To be replaced by ""description of goods"" upon submission of `Shipping Instructions`",
Commodity,customsReferences,"CustomsReference list",,,,,"A list of `Customs references`",
Commodity,exportLicense,ExportLicense,,,,,"Export license information.",
Commodity,HSCodes,"string list",,"minLength=6
maxLength=10","^\d{6,10}$",,"A list of `HS Codes` that apply to this `commodity`
Item description:
Used by customs to classify the product being shipped. The type of HS code depends on country and customs requirements. The code must be at least 6 and at most 10 digits.

More information can be found here: [HS Nomenclature](https://www.wcoomd.org/en/topics/nomenclature/instrument-and-tools).
",
Commodity,importLicense,ImportLicense,,,,,"Import license information.",
Commodity,nationalCommodityCodes,"NationalCommodityCode list",,,,,"A list of `National Commodity Codes` that apply to this `commodity`",
Commodity,outerPackaging,OuterPackaging,,,,,"Object for outer packaging/overpack specification. Examples of overpacks are a number of packages stacked on to a pallet and secured by strapping or placed in a protective outer packaging such as a box or crate to form one unit for the convenience of handling and stowage during transport.

**Condition:** Mandatory for DG (Dangerous Goods) cargo.",
Commodity,references,"Reference list",,,,,"A list of `References`",
ConfirmedEquipment,containerPositionings,"ContainerPositioningEstimated list",,,,,"A list of date and time and locations of the customer facility where the container(s) will be loaded. If multiple Container positioning locations (`CPO`) are provided (multi-stop), the first location is where the empty container will be stuffed first. The order in which the `CPO` locations should be visited is implicitly defined by the shipper based on the date and time provided per location (all times are estimated).

**Condition:** Only applicable to carrier haulage service at origin (`Receipt type at origin = 'SD'`).",
ConfirmedEquipment,emptyContainerPickup,EmptyContainerPickup,,,,,"The date and time and location for the empty container pick-up.

**Condition:** Only applicable to merchant haulage service at origin (`Receipt type at origin = 'CY'`).",
ConfirmedEquipment,ISOEquipmentCode,string,yes,maxLength=4,"^\S(?:.*\S)?$",22G1,"Unique code for the different equipment size and type used to transport commodities. The code can refer to one of ISO size type (e.g. 22G1) or ISO type group (e.g. 22GP) following the [ISO 6346](https://www.iso.org/standard/83558.html) standard.",
ConfirmedEquipment,units,integer,yes,minimum=1,,3,"Number of confirmed equipment units",
Consignee,address,PartyAddress,,,,,"Party address.",
Consignee,identifyingCodes,"IdentifyingCode list",,,,,,
Consignee,partyContactDetails,"PartyContactDetail list",,minItems=1,,,"A list of contact details",
Consignee,partyName,string,yes,maxLength=70,"^\S(?:.*\S)?$","IKEA Denmark","Name of the party.",
Consignee,purchaseOrderReferences,"string list",,maxLength=35,"^\S(?:.*\S)?$",,"A list of `Purchase Order Reference`s linked to the `Consignee`.
Item description:
A purchase order reference linked to the `Consignee`.",
Consignee,reference,string,,maxLength=35,"^\S(?:.*\S)?$",HHL007,"A reference linked to the `Consignee`.",
Consignee,taxLegalReferences,"TaxLegalReference list",,,,,"A list of `Tax References` for a `Party`",
ContainerPositioning,dateTime,"string(date-time)",,,,2024-09-04T09:41Z,"The date and time requested by the shipper for the positioning of the container(s) at the Container positioning location (`CPO`), if provided, or the Place of Receipt (`PRE`) if `CPO` location is not provided.",
ContainerPositioning,location,"ContainerPositioningLocation",yes,,,,"The container positioning location.",
"ContainerPositioningEstimated",estimatedDateTime,"string(date-time)",,,,2024-09-04T09:41Z,"The estimated date and time for the positioning of the container(s) at the `Container Positioning Location` (CPO), if provided, or the `Place of Receipt` (PRE) if CPO location is not provided.

**Condition:** Only applicable to carrier haulage service at origin (`Receipt type at origin = 'SD'`).",
"ContainerPositioningEstimated",location,"ContainerPositioningLocation",yes,,,,"The container positioning location.",
"ContainerPositioningLocation",address,Address,,,,,"Address of the location.",
"ContainerPositioningLocation",facility,Facility,,,,,"Facility information for the location.",
"ContainerPositioningLocation",geoCoordinate,GeoCoordinate,,,,,"Geographic coordinate (latitude/longitude) of the location.",
"ContainerPositioningLocation",locationName,string,,maxLength=100,"^\S(?:.*\S)?$","Shanghai Shengdong International Container Terminal","The name of the location.",
"ContainerPositioningLocation",UNLocationCode,string,,"minLength=5
maxLength=5","^[A-Z]{2}[A-Z2-9]{3}$",NLAMS,"The UN Location code specifying where the place is located. The pattern used must be

- 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)
- 3 characters to code a location within that country. Letters A-Z and numbers from 2-9 can be used

More info can be found here: [UN/LOCODE](https://unece.org/trade/cefact/UNLOCODE-Download)",
CustomsReference,countryCode,string,yes,"minLength=2
maxLength=2","^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)",
CustomsReference,type,string,yes,maxLength=50,"^\S(?:.*\S)?$",CUS,"The reference type code as defined in the relevant customs jurisdiction.",
CustomsReference,values,"string list",yes,"minItems=1
maxLength=35","^\S(?:.*\S)?$",,"
Item description:
The value of the `customsReference`",
DangerousGoods,"additionalContainerCargoHandling",string,,maxLength=255,,"To be handled with extreme care","Text field to provide cargo handling information already known at the booking stage.",
DangerousGoods,codedVariantList,string,,"minLength=4
maxLength=4","^[0-3][0-9A-Z]{3}$",2200,"Four-character code supplied by Exis Technologies that assists to remove ambiguities when identifying a variant within a single `UN number` or `NA number` that may occur when two companies exchange DG information.

Character | Valid Characters | Description
:--------:|------------------|------------
1| 0, 1, 2, 3|The packing group. Code 0 indicates there is no packing group
2|0 to 9 and A to Z|A sequence letter for the PSN, or 0 if there were no alternative PSNs
3 and 4|0 to 9 and A to Z|Two sequence letters for other information, for the cases where the variant is required because of different in subrisks, packing instruction etc.",
DangerousGoods,"competentAuthorityApproval",string,,maxLength=70,"^\S(?:.*\S)?$","{Name and reference...}","Name and reference number of the competent authority providing the approval.",
DangerousGoods,emergencyContactDetails,EmergencyContactDetails,yes,,,,"24 hr emergency contact details",
DangerousGoods,EMSNumber,string,,maxLength=7,,"F-A S-Q","The emergency schedule identified in the IMO EmS Guide - Emergency Response Procedures for Ships Carrying Dangerous Goods. Comprises 2 values; 1 for spillage and 1 for fire. Possible values spillage: S-A to S-Z. Possible values fire: F-A to F-Z.",
DangerousGoods,endOfHoldingTime,"string(date)",,,,2021-09-03,"Date by when the refrigerated liquid needs to be delivered.",
DangerousGoods,fumigationDateTime,"string(date-time)",,,,2024-09-04T09:41Z,"Date & time when the container was fumigated",
DangerousGoods,grossWeight,GrossWeight,yes,,,,"Total weight of the goods carried, including packaging.",
DangerousGoods,imoClass,string,yes,maxLength=4,,1.4S,"The hazard class code of the referenced dangerous goods according to the specified regulation. Examples of possible values are:
- `1.1A` (Substances and articles which have a mass explosion hazard)
- `1.6N` (Extremely insensitive articles which do not have a mass explosion hazard)
- `2.1` (Flammable gases)
- `8` (Corrosive substances)",
